id_movimentacao;id_produto;data_movimentacao;quantidade;tipo;valor_total
1;47;2025-07-19 00:00:00;28;S;11746.62
2;40;2024-11-09 00:00:00;44;S;22703.64
3;37;2024-10-30 00:00:00;19;S;9688.7
4;1;2026-06-18 00:00:00;53;S;3668.47
5;24;2026-03-18 00:00:00;122;S;80030.14
6;35;2024-08-20 00:00:00;692;E;77600.74
7;36;2025-10-09 00:00:00;18;S;6800.3
8;39;2025-07-31 00:00:00;44;S;19396.22
9;46;2026-01-30 00:00:00;168;S;85662.66
10;18;2024-10-11 00:00:00;30;S;3870.33
11;28;2024-08-28 00:00:00;12;S;4897.38
12;32;2024-06-16 00:00:00;18;S;10531.06
13;14;2025-08-08 00:00:00;9;S;3996.71
14;14;2025-04-09 00:00:00;263;E;108230.83
15;22;2025-02-14 00:00:00;121;S;91577.06
16;14;2025-10-15 00:00:00;274;E;132440.55
17;23;2026-06-01 00:00:00;111;S;65776.58
18;11;2024-12-12 00:00:00;354;E;240723.01
19;22;2024-07-25 00:00:00;86;S;59183.5
20;12;2024-10-13 00:00:00;41;S;14591.11
21;37;2024-11-29 00:00:00;108;E;45476.26
22;25;2025-07-14 00:00:00;885;E;329680.78
23;21;2025-09-26 00:00:00;103;S;31759.12
24;32;2025-04-06 00:00:00;139;E;92404.41
25;50;2024-12-22 00:00:00;59;S;33321.38
26;15;2024-10-05 00:00:00;27;S;2555.15
27;45;2026-01-27 00:00:00;19;S;2485.5
28;49;2024-10-04 00:00:00;465;E;225243.68
29;36;2025-02-08 00:00:00;29;S;9608.54
30;31;2025-09-16 00:00:00;29;S;18147.37
31;40;2024-09-15 00:00:00;308;E;130714.98
32;47;2026-02-07 00:00:00;8;S;3601.59
33;31;2024-12-05 00:00:00;38;S;19714.37
34;2;2026-01-24 00:00:00;22;S;13931.88
35;32;2025-08-13 00:00:00;66;E;47674.33
36;6;2026-06-09 00:00:00;49;S;7014.32
37;14;2024-08-25 00:00:00;88;E;46863.52
38;26;2026-03-24 00:00:00;127;E;60114.99
39;36;2025-03-27 00:00:00;86;S;33554.72
40;17;2026-05-11 00:00:00;150;S;90777.14
41;34;2024-06-05 00:00:00;153;S;31794.11
42;21;2025-12-04 00:00:00;321;E;106008.56
43;14;2025-02-05 00:00:00;214;E;89694.18
44;10;2025-06-28 00:00:00;235;E;43143.1
45;34;2026-06-23 00:00:00;221;S;41986.08
46;9;2025-08-28 00:00:00;36;S;5080.58
47;39;2025-01-04 00:00:00;9;S;4348.89
48;43;2024-09-02 00:00:00;220;E;41182.13
49;24;2025-12-31 00:00:00;107;S;66051.27
50;13;2026-03-03 00:00:00;69;S;12112.37
51;49;2026-06-10 00:00:00;482;E;192276.31
52;30;2024-12-23 00:00:00;64;S;14823.79
53;16;2025-04-17 00:00:00;9;S;4060.35
54;7;2026-05-03 00:00:00;74;S;52331.68
55;9;2026-03-20 00:00:00;17;S;2026.59
56;5;2024-06-22 00:00:00;66;S;17821.29
57;38;2025-09-02 00:00:00;957;E;731744.24
58;3;2025-06-30 00:00:00;82;S;45681.68
59;46;2026-04-27 00:00:00;173;S;80261.0
60;43;2026-01-29 00:00:00;180;E;43331.13
61;17;2025-09-10 00:00:00;467;E;258132.15
62;37;2024-07-02 00:00:00;16;S;8169.22
63;30;2024-11-23 00:00:00;27;S;6110.94
64;41;2026-06-01 00:00:00;48;S;25121.29
65;41;2025-11-25 00:00:00;15;S;8660.53
66;5;2024-12-10 00:00:00;139;S;35138.23
67;7;2025-12-21 00:00:00;51;S;33848.55
68;5;2025-10-23 00:00:00;25;S;5859.67
69;47;2026-02-17 00:00:00;20;S;8307.88
70;15;2024-09-05 00:00:00;24;S;2623.49
71;2;2025-09-30 00:00:00;24;S;14881.15
72;12;2025-06-27 00:00:00;199;E;60272.68
73;1;2024-10-11 00:00:00;64;S;5493.53
74;17;2026-06-07 00:00:00;62;S;43214.44
75;15;2025-01-09 00:00:00;33;S;3899.71
76;35;2026-02-02 00:00:00;30;S;2963.62
77;30;2025-06-21 00:00:00;157;E;29658.63
78;19;2025-04-10 00:00:00;73;S;24362.16
79;27;2025-12-02 00:00:00;103;S;31324.64
80;1;2025-12-09 00:00:00;158;S;12708.32
81;6;2024-06-02 00:00:00;137;E;25736.11
82;13;2026-05-06 00:00:00;54;S;8358.85
83;8;2026-02-28 00:00:00;20;S;13110.93
84;3;2026-03-10 00:00:00;133;E;67219.45
